"Site","Round","Start_date","End_date","n","seroprev","Lower.CI","Upper.CI","group"
"CA",1,2020-07-30,2020-08-05,245,0.062,0.0312,0.1009,"0-17"
"CA",1,2020-07-30,2020-08-05,245,0.07,0.039,0.103,"18-49"
"CA",1,2020-07-30,2020-08-05,245,0.052,0.0246,0.0882,"50-64"
"CA",1,2020-07-30,2020-08-05,245,0.011,0,0.0261,"65+"
"CA",1,2020-07-30,2020-08-05,980,0.057,0.0405,0.0777,"Cumulative"
"CA",1,2020-07-30,2020-08-05,560,0.063,0.0397,0.0919,"Female"
"CA",1,2020-07-30,2020-08-05,420,0.051,0.0274,0.0783,"Male"
"CA",2,2020-08-13,2020-08-19,245,0.056,0.0255,0.0894,"0-17"
"CA",2,2020-08-13,2020-08-19,245,0.048,0.0222,0.0797,"18-49"
"CA",2,2020-08-13,2020-08-19,245,0.023,0.0067,0.0459,"50-64"
"CA",2,2020-08-13,2020-08-19,245,0.035,0.0121,0.0677,"65+"
"CA",2,2020-08-13,2020-08-19,980,0.043,0.0285,0.0606,"Cumulative"
"CA",2,2020-08-13,2020-08-19,550,0.039,0.0183,0.0605,"Female"
"CA",2,2020-08-13,2020-08-19,430,0.048,0.0262,0.0731,"Male"
"CA",3,2020-08-28,2020-09-09,245,0.076,0.0388,0.1143,"0-17"
"CA",3,2020-08-28,2020-09-09,247,0.063,0.032,0.0978,"18-49"
"CA",3,2020-08-28,2020-09-09,245,0.045,0.0197,0.0777,"50-64"
"CA",3,2020-08-28,2020-09-09,246,0.04,0.0156,0.0738,"65+"
"CA",3,2020-08-28,2020-09-09,983,0.06,0.042,0.0782,"Cumulative"
"CA",3,2020-08-28,2020-09-09,537,0.06,0.0379,0.0883,"Female"
"CA",3,2020-08-28,2020-09-09,446,0.06,0.036,0.091,"Male"
"CA",4,2020-09-10,2020-09-16,245,0.081,0.0435,0.1201,"0-17"
"CA",4,2020-09-10,2020-09-16,246,0.047,0.0183,0.0813,"18-49"
"CA",4,2020-09-10,2020-09-16,244,0.036,0.0118,0.0665,"50-64"
"CA",4,2020-09-10,2020-09-16,244,0.021,0.0038,0.0466,"65+"
"CA",4,2020-09-10,2020-09-16,979,0.049,0.0317,0.0685,"Cumulative"
"CA",4,2020-09-10,2020-09-16,577,0.04,0.0203,0.0621,"Female"
"CA",4,2020-09-10,2020-09-16,402,0.059,0.0322,0.0867,"Male"
